//,패키지    : 50000 ~ ( 500 ),,,,,,,,,,,,,,,,,,루비(5000),슈퍼백신(802),부활석(1200),,,,,,,,,,,,,,,,,,,,,,,,,,
//,              필수(50000 ~ 59999(관리자가 입력:테이블사용불가),,,,,,,,,,,,,,,,,코인(0),코인(5100),알바의귀재(1002),합성 1시간단축(1600),,,,,,,,,,,,,,,,,,,,,,,,,,
//,동물뽑기 : 60000 ~  ( 600 ),,,,,,,,,,,,,,,,,루비(1),하트(2000),특수촉진제(1103),긴급요청 티켓(2100),,,,,,,,,,,,,,,,,,,,,,,,,,
//,야바위    : 70000 ~  ( 700 ),,,,,,,,,,,,,,,,,하트(2),건초(900),,일반 교배 티켓(2200),,,,,,,,,,,,,,,,,,,,,,,,,,
//label(version),보물      : 120000 ~ ( 1200 ) ,,,,,,,,,,,,,,,,,건초(3),우정포인트(1900),,프리미엄 교배 티켓(2300),,,,,,,,,,,,,,,,,,,,,,,,,,
//,보물뽑기 : 130000 ~ ( 1300 ) ,,,,,,,,,,,"동물, 보물에서는 뽑기 오픈조건임",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,묶음가격,묶음가격,,단일가격,,param1,param2,param3,param4,param5,param6,param7,param8,param9,param10,param11,param12,param13,param14,param15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30
//,아이템 코드,카테고리,서브 카테고리,장착 슬롯,아이템 이름,사용 여부,상단게시,등급,세일여부,아이콘,판매요구 레벨,요구 주택 레벨,코인가격,캐시가격,1회구매수량,판매,아이템 설명,액세서리 슬롯(사용안함),등급을 색으로변경,생산 속도(단계),신선도(다른것이 사용됨 이제는 사용안함),질병 저항,먹이 소모량,아이템 생산 확률(%),피버 생산 확률(%),몸체,회북요구량,먹이통 최대,부활타임(1h),부활석 소모,특수능력,상인거래단가상승,코인,하트,세포 촉진제,신선도,,턴타임,,시간,,방어,,HP,,레벨당 유전자필요수량,
label(animal),itemcode,category,subcategory,equpslot,itemname,activate,toplist,grade,discount,icon,playerlv,houselv,gamecost,cashcost,buyamount,sellcost,description,accessorykind,stargrade,milkspeed,milkfresh,res_disease,consume,coin_creation,fever_creation,bodycode,healpoint,consumeinit,revivaltime,reviveconsume,special_ability,animal_danga,upgamecost,upheart,upboost,freshbase,freshconst,attbase,attconst,timebase,timeconst,defbase,defconst,hpbase,hpconst,upstep,upstepmax
,1,동물(1),소(1),목장(1),소,1,-1,저급(0),0,1,0,0,350,0,1,20,.,모두(2),등급(1),3000,8,1,1,0,108,100,1,25,3,1,-1,0,40,1,0,6,1,6,1,2 ,3 ,35,3 ,65,3 ,1,8
,2,동물(1),소(1),목장(1),까맣소,1,-1,저급(0),0,2,2,0,450,0,1,30,.,모두(2),등급(1),2900,15,1,1,100,104,103,1,26,13,1,-1,1,40,1,0,7,2,7,2,2 ,3 ,35,3 ,65,3 ,1,8
,3,동물(1),소(1),목장(1),자유롭소,0,-1,저급(0),0,3,3,0,700,0,1,100,.,모두(2),등급(1),2850,20,1,1,100,104,104,1,26,15,1,-1,1,40,2,0,9,3,9,3,3 ,4 ,35,3 ,65,3 ,2,16
,4,동물(1),소(1),목장(1),하늘소,0,-1,일반(1),0,4,10,0,2500,0,1,160,.,모두(2),등급(1),2800,25,2,1,100,100,207,1,27,24,1,-1,1,60,2,0,12,4,12,4,3 ,4 ,60,5 ,90,3 ,3,24
,5,동물(1),소(1),목장(1),마시멜로였소,0,-1,일반(1),0,5,0,0,0,240,1,200,.,모두(2),등급(2),2744,30,2,1,100,100,208,1,27,30,1,-1,1,60,2,0,14,4,14,4,3 ,4 ,60,5 ,90,3 ,3,24
,6,동물(1),소(1),목장(1),까칠하소,0,-1,일반(1),0,6,16,0,5000,0,1,240,.,모두(2),등급(2),2689,35,2,1,100,96,210,1,28,36,1,-1,2,60,2,0,16,5,16,5,4 ,5 ,60,5 ,90,3 ,4,32
,7,동물(1),소(1),목장(1),유자소,0,-1,고급(2),0,7,0,0,0,340,1,230,.,모두(2),등급(2),2700,40,3,2,100,100,205,2,27,34,1,-1,2,120,2,0,21,6,21,6,4 ,5 ,85,8 ,115,4 ,5,40
,8,동물(1),소(1),목장(1),손수건소,0,-1,고급(2),0,8,22,0,9000,0,1,260,.,모두(2),등급(2),2646,45,3,2,100,96,206,2,28,39,1,-1,3,120,3,0,23,7,23,7,6 ,5 ,85,8 ,115,4 ,6,48
,9,동물(1),소(1),목장(1),왕리본소,0,-1,고급(2),0,9,0,0,0,440,1,300,.,모두(2),등급(2),2593,50,3,2,100,96,209,2,28,45,2,-1,3,120,3,0,24,7,24,7,6 ,5 ,110,10 ,140,5 ,6,48
,10,동물(1),소(1),목장(1),신선하소,0,-1,희귀(3),0,10,28,0,16000,0,1,340,.,모두(2),등급(2),2500,55,4,3,100,89,201,2,30,51,2,-1,4,240,4,0,30,9,30,9,7 ,6 ,135,13 ,165,5 ,8,64
