label(tooltip),count,tip
,0,동물교배를 통해 새로운 동물을 얻어보세요!
,1,동물교배로 도감을 완성하면 상인거래 기본단가가 상승합니다.
,2,동물을 짜지 않고 방치해두면 동물이 터져죽게됩니다.
,3,동물병원은 공간이 한정 되어 있습니다. 살리고 싶은 동물은 빨리 부활시키세요~
,4,상인거래 시 만족도가 불만족이라면 동물교배를 해보세요.
,5,동물을 너무 많이 짜면 동물이 죽게 됩니다.
,6,남는 동물과 보물을 어떻게 하냐고요? 분해로 강화세포를 획득할 수 있습니다.
,7,상위 동물을 구할 수 있는 좋은 방법은 동물합성과 동물승급입니다.
,8,필요없는 동물들을 분해하시면 강화세포를 획득 할 수 있습니다.
,9,상점에서 구매한 동물은 분해해도 강화세포를 획득할 수 없어요.
,10,지원받은 동물은 분해해도 강화세포를 얻을 수 없습니다.
,11,합성 포인트는 합성 성공 시에만 포인트가 누적됩니다.
,12,S로 끝나는 동물은 스페셜 능력을 가지고 있습니다.
,13,스페셜 동물들은 교배와 승급으로 얻을 수 있습니다.
,14,상위 동물로 획득하는 방법으로 합성과 승급이 있습니다.
,15,트로피는 유저배틀을 통해서 획득 할 수 있습니다.
,16,트로피에 따라서 티어가 구분되면 티어가 높을 수록 박스 보상이 상승합니다.
,17,우정포인트는 황금상인을 불러 높은 단가를 받고 싶을 때 사용할 수 있습니다.
,18,보물뽑기를 통해 얻은 필요없는 보물들은 분해를 해보세요. 동물강화세포를 획득할 수 있답니다.
,19,소는 산양` 산양은 양` 양은 소에 대해서 상성이 강해 배틀에 유리합니다.
,20,배틀에서는 턴 값이 높으면 공격 턴 주기가 빨라집니다.
,21,전국목장에서 새로운 목장을 구매하시면 더 좋은 세포를 획득할 수 있어요!
,22,배틀 횟수는 매일 00시에 초기화됩니다.
,23,친구에게 하트를 선물하고 얻는 우정 포인트로 황금상인을 불러 대박을 노려보세요!
,24,친구와 서로 하트를 주고 받으세요!
,25,하트는 동물교배나 보물뽑기에 사용되요.
,26,하트는 동물강화나 보물강화에 사용되요.
,27,하트는 경작지에서 재배 할수도 있으니 꾸준히 모아두세요!
,28,친구들과 하트 교환은 하루 100회까지만 가능합니다.
,29,목장을 구입하려면 구매 조건을 달성해야 합니다.
,30,목장을 많이 보유하면 거래단가가 상승합니다.
