label(tooltip),count,tip
,0,도움말을 여기에 넣어주세요.
,1,도움말을 여기에 넣어주세요2.
,2,도움말을 여기에 넣어주세요3.
,3,도움말을 여기에 넣어주세요4.
,4,도움말을 여기에 넣어주세요5.
,5,도움말을 여기에 넣어주세요6.
,6,도움말을 여기에 넣어주세요7.
,7,도움말을 여기에 넣어주세요8.
,8,도움말을 여기에 넣어주세요9.
,9,도움말을 여기에 넣어주세요10.
,10,도움말을 여기에 넣어주세요11.
,11,도움말을 여기에 넣어주세요12.
,12,도움말을 여기에 넣어주세요13.
,13,도움말을 여기에 넣어주세요14.
,14,도움말을 여기에 넣어주세요15.
,15,도움말을 여기에 넣어주세요16.
,16,도움말을 여기에 넣어주세요17.
,17,도움말을 여기에 넣어주세요18.
,18,도움말을 여기에 넣어주세요19.
,19,도움말을 여기에 넣어주세요20.
,20,도움말을 여기에 넣어주세요21.
,21,도움말을 여기에 넣어주세요22.
,22,도움말을 여기에 넣어주세요23.
,23,도움말을 여기에 넣어주세요24.
,24,도움말을 여기에 넣어주세요25.
