//,,,,,,,,,,,,,,
//,*고의적으로 저가의 아이템이 있음을 인정하고 가도록 한다.,,,,,,,,,,,,,
//,최소레벨,최대레벨,판매가,할인률,활성여부,,,이름,코멘트,1번 아이템,2번 아이템,3번 아이템,4번 아이템,5번 아이템
,1,10,60,0,1,-1,-1,초보자 목장 패키지,초보자 목장 패키지,1:5,2:101,3:102,4:2104,5:902
//,,,,,,,,수량,,5,101,102,2104,902
,9,19,110,0,1,-1,-1,능숙한 목장 패키지,능숙한 목장 패키지,1:9,2:104,3:105,4:2105,5:1004
//,,,,,,,,수량,,9,104,105,2105,1004
,17,30,260,0,1,-1,-1,노련한 목장 패키지,노련한 목장 패키지,1:15,2:112,3:209,4:2106,5:1005
//,,,,,,,,수량,,15,112,209,2106,1005
,28,42,380,0,1,-1,-1,잘나가는 목장 패키지,잘나가는 목장 패키지,1:113,2:113,3:114,4:2107,5:1006
//,,,,,,,,수량,,113,113,114,2107,1006
,38,50,500,0,1,-1,-1,끝내주는 목장 패키지,끝내주는 목장 패키지,1:212,2:212,3:213,4:2108,5:1007
//,,,,,,,,수량,,212,212,213,2108,1007
,1,50,300,20,1,-1,-1,내게 필요한 패키지,내게 필요한 패키지,1:1208,2:2302,3:2109,4:-1,5:-1
//,,,,,,,,수량,,1208,2302,2109,-1,-1
