//,,,,,,,,,,,,,,,,,,,,,,,,,,
//,아이템 테이블,,,,,,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
//,필수 사용값,,,,,,,,,,,,,,,,,,,,,,,,,
//,아이템 코드,카테고리,장착 슬롯,아이템이름,사용활성화,상단게시,등급,세일,아이콘,요구 명성레벨,요구 주택레벨,게임머니가격,캐쉬가격,아이템설명,성장한계레벨,초기요구경험치,장착악세사리,기간,생산속도,신선도,질병저항,피해저항,먹이소모,,,
label(animal),itemcode,category,equpslot,itemname,activate,toplist,grade,discount,iconcode,playerlv,houselv,gamecost,cashcost,description,dlvcap,dexp,accecery,month,milkpspeed,milkfreshness,disresist,injresist,consume,bodycode,spotcode,colorcode
,1,가축(1),양(1),양 (F등급),1,0,일반(1),0,1,0,0,0,100,아이템 구성,1,1,없음(0),0,3000,10,0,0,20,100,0,1
,2,가축(1),양(1),양 (E등급),1,0,일반(1),0,2,0,0,0,200,아이템 구성,2,1,없음(0),0,2950,12,10,10,20,100,200,2
,3,가축(1),양(1),양 (D등급),1,0,일반(1),0,3,0,0,0,200,아이템 구성,2,1,없음(0),0,2900,14,10,10,20,100,200,3
,4,가축(1),양(1),양 (C등급),1,0,일반(1),0,4,0,0,0,200,아이템 구성,3,1,없음(0),0,2850,16,10,10,20,100,200,4
,5,가축(1),양(1),양 (B등급),1,0,일반(1),0,5,0,0,0,200,아이템 구성,3,1,없음(0),0,2800,18,10,10,20,100,200,5
,6,가축(1),양(1),양 (A등급),1,0,레어(2),0,6,0,0,0,200,아이템 구성,3,1,한개(1),0,2750,20,10,10,20,100,200,6
,7,가축(1),양(1),양 (S등급),1,0,레어(2),0,7,0,0,0,200,아이템 구성,4,1,한개(1),0,2700,22,10,10,20,100,200,1
,8,가축(1),양(1),양 (S+등급),1,0,레어(2),0,8,0,0,0,200,아이템 구성,4,1,한개(1),0,2650,24,10,10,20,100,200,2
,9,가축(1),양(1),양 (SS등급),1,0,레어(2),0,9,0,0,0,200,아이템 구성,4,1,한개(1),0,2600,26,10,10,20,100,200,3
,10,가축(1),양(1),양 (SS+등급),1,0,레어(2),0,10,0,0,0,200,아이템 구성,4,1,한개(1),0,2550,28,10,10,20,100,200,4
,11,가축(1),양(1),양 (SSS등급),1,0,희귀(3),0,11,0,0,0,200,아이템 구성,5,1,두개(2),0,2500,30,10,10,20,100,200,5
,12,가축(1),양(1),양 (Super등급),1,0,희귀(3),0,12,0,0,0,200,아이템 구성,5,1,두개(2),0,2450,32,10,10,20,100,200,6
,13,가축(1),양(1),양 (Ultra등급),1,0,희귀(3),0,13,0,0,0,200,아이템 구성,5,1,두개(2),0,2400,34,10,10,20,100,200,1
,14,가축(1),양(1),양 (Super Ultra등급),1,0,희귀(3),0,14,0,0,0,200,아이템 구성,5,1,두개(2),0,2350,36,10,10,20,100,200,2
,15,가축(1),양(1),양 (Legendary등급),1,0,희귀(3),0,15,0,0,0,200,아이템 구성,5,1,두개(2),0,2300,38,10,10,20,100,200,3
label(animal),itemcode,category,equpslot,itemname,activate,toplist,grade,discount,iconcode,playerlv,houselv,gamecost,cashcost,description,dlvcap,dexp,accecery,month,milkpspeed,milkfreshness,disresist,injresist,consume,bodycode,spotcode,colorcode
,100,가축(1),소(2),소 (F등급),1,0,일반(1),0,16,0,0,100,0,아이템 구성,1,1,없음(0),0,2500,25,0,0,20,300,0,1
,101,가축(1),소(2),소 (E등급),1,0,일반(1),0,17,0,0,200,0,아이템 구성,2,1,없음(0),0,2460,28,10,10,20,301,400,2
,102,가축(1),소(2),소 (D등급),1,0,일반(1),0,18,0,0,200,0,아이템 구성,2,1,없음(0),0,2420,31,10,10,20,302,401,3
,103,가축(1),소(2),소 (C등급),1,0,일반(1),0,19,0,0,200,0,아이템 구성,3,1,없음(0),0,2380,34,10,10,20,300,402,4
,104,가축(1),소(2),소 (B등급),1,0,일반(1),0,20,0,0,200,0,아이템 구성,3,1,없음(0),0,2340,37,10,10,20,301,400,5
,105,가축(1),소(2),소 (A등급),1,0,레어(2),0,21,0,0,200,0,아이템 구성,3,1,한개(1),0,2300,40,10,10,20,302,401,6
,106,가축(1),소(2),소 (S등급),1,0,레어(2),0,22,0,0,200,0,아이템 구성,4,1,한개(1),0,2260,43,10,10,20,300,402,1
,107,가축(1),소(2),소 (S+등급),1,0,레어(2),0,23,0,0,200,0,아이템 구성,4,1,한개(1),0,2220,46,10,10,20,301,400,2
,108,가축(1),소(2),소 (SS등급),1,0,레어(2),0,24,0,0,200,0,아이템 구성,4,1,한개(1),0,2180,49,10,10,20,302,401,3
,109,가축(1),소(2),소 (SS+등급),1,0,레어(2),0,25,0,0,200,0,아이템 구성,4,1,한개(1),0,2140,52,10,10,20,300,402,4
,110,가축(1),소(2),소 (SSS등급),1,0,희귀(3),0,26,0,0,200,0,아이템 구성,5,1,두개(2),0,2100,55,10,10,20,301,400,5
,111,가축(1),소(2),소 (Super등급),1,0,희귀(3),0,27,0,0,200,0,아이템 구성,5,1,두개(2),0,2060,58,10,10,20,302,401,6
,112,가축(1),소(2),소 (Ultra등급),1,0,희귀(3),0,28,0,0,200,0,아이템 구성,5,1,두개(2),0,2020,61,10,10,20,300,402,1
,113,가축(1),소(2),소 (Super Ultra등급),1,0,희귀(3),0,29,0,0,200,0,아이템 구성,5,1,두개(2),0,1980,64,10,10,20,301,400,2
,114,가축(1),소(2),소 (Legendary등급),1,0,희귀(3),0,30,0,0,200,0,아이템 구성,5,1,두개(2),0,1940,67,10,10,20,302,401,3
label(animal),itemcode,category,equpslot,itemname,activate,toplist,grade,discount,iconcode,playerlv,houselv,gamecost,cashcost,description,dlvcap,dexp,accecery,month,milkpspeed,milkfreshness,disresist,injresist,consume,bodycode,spotcode,colorcode
,200,가축(1),산양(3),산양 (F등급),1,0,일반(1),0,31,0,0,0,100,아이템 구성,1,1,없음(0),0,2000,50,0,0,20,500,0,1
,201,가축(1),산양(3),산양 (E등급),1,0,일반(1),0,32,0,0,0,200,아이템 구성,2,1,없음(0),0,1970,55,10,10,20,501,600,2
